experiment,trial,n_dat,noise,n_int,length_scale,lu,la,err_a_L2,err_u_L2,err_a_Linf,err_u_Linf,final_loss
observation_count,0,5,,,,,,1.3648861360545332,0.970098774658678,1.7048829971131787,3.2978191529402823,1.628999363233907
observation_count,1,5,,,,,,1.0345787553614796,1.0295044402407787,1.6693204986920085,1.8084191757268582,0.9610428693588967
observation_count,2,5,,,,,,1.0346229772217561,1.0871026481605381,1.3965612372126621,2.4428601938013434,0.8472029216020203
observation_count,0,10,,,,,,1.2237899832979138,1.0163158765384959,1.6709508914648086,1.9886889041664784,1.1092014032469049
observation_count,1,10,,,,,,0.8258136311564735,0.30229535232692456,1.255801215615007,0.6235706468854243,1.2725871640017066
observation_count,2,10,,,,,,1.0932928544178164,1.1112733190377673,1.4978595059060167,3.005983847769197,1.06175433413401
observation_count,0,20,,,,,,0.5515304257800979,0.3912480709175645,0.9324602036815083,3.360479674590594,2.028167539443938
observation_count,1,20,,,,,,0.7407237171224504,0.2689367094844755,1.168591708193931,0.8817821958917119,2.9369359931432397
observation_count,2,20,,,,,,0.5993096139367592,0.19243641464920155,1.1177171883928654,0.7538894706644068,1.486680115622958
observation_count,0,40,,,,,,0.5072681375333346,0.12832858488587717,0.8919129764330533,0.7013900605410026,8.327227885115322
observation_count,1,40,,,,,,0.4032769199229167,0.1106328319555929,1.2794638791577468,0.2528746482704832,7.836991542755466
observation_count,2,40,,,,,,0.6141967973667222,0.17451600116083676,0.9556683588672559,0.631582789729319,8.171582272960036
observation_count,0,80,,,,,,0.3388341606976467,0.057443266098660024,0.5306771013094326,0.22372983218916026,24.85915753298449
observation_count,1,80,,,,,,0.4493373539290306,0.06600470121585873,0.6157391961306107,0.12626512874924198,19.927349185306422
observation_count,2,80,,,,,,0.6179182961382426,0.06299688323795775,1.4524741233273977,0.18531591311177537,31.62545870665468
observation_count,0,160,,,,,,0.34283908134713903,0.045994745297793925,0.580881351885269,0.146190789631036,77.1245659135503
observation_count,1,160,,,,,,0.4186754901551117,0.048897532066660816,0.6598441526821572,0.11117073580077211,70.88411108310936
observation_count,2,160,,,,,,0.41185165360960524,0.0331152949554304,1.0612387604665359,0.07197229539272672,56.085402059410576
noise_level,0,,1e-05,,,,,0.4920577788346935,0.1335242741143726,0.8436103597624036,0.9826591844169587,8.675528884959405
