experiment,parameter,a_L2_mean,a_L2_std,u_L2_mean,u_L2_std,a_Linf_mean,u_Linf_mean
E1_n_dat,5.0,1.1446959562125896,0.19069029068889135,1.0289019543533315,0.05850426348176036,1.5902549110059496,2.5163661741561616
E1_n_dat,10.0,1.0476321562907345,0.2028791973836679,0.8099615159677294,0.4422080158147632,1.4748705376619442,1.8727477996070334
E1_n_dat,20.0,0.6305212522797692,0.09838267199196825,0.28420706501708054,0.10028163583434181,1.0729230334227682,1.6653837803822376
E1_n_dat,40.0,0.5082472849409911,0.10546334776813185,0.1378258060007689,0.03298352215281613,1.042348404819352,0.5286158328469349
E1_n_dat,80.0,0.4686966035883066,0.14054562986512192,0.06214828351749213,0.0043433436348833225,0.8662968069224802,0.1784369580167258
E1_n_dat,160.0,0.3911220750372853,0.04195326919397317,0.042669190773295035,0.008400252182544029,0.7673214216779874,0.10977794027484493
E2_noise,1e-05,0.45953574530141234,0.028414487885385527,0.10777025467239106,0.02447148531471534,1.033850756911266,0.60823343201529
E2_noise,0.0001,0.4231525504231512,0.025652274889366593,0.10881000154973586,0.025474834611533326,0.9434710699262894,0.5499482010545219
E2_noise,0.001,0.5082472849409911,0.10546334776813185,0.1378258060007689,0.03298352215281613,1.042348404819352,0.5286158328469349
E2_noise,0.01,1.0031361779499244,0.18146818802238712,0.7007921438347208,0.1653979420260935,1.3713013188131518,3.536135791942854
E2_noise,0.1,1.1882782170567296,0.5791831381081551,2.2142867735348024,1.3434367991459328,1.4668793334064005,3.2163028450232223
E3_n_int,50.0,1.1186637306940799,0.01416621990779691,0.3761134650764741,0.13384266240740633,1.465517454162282,2.053377424442736
E3_n_int,100.0,0.7023569545218393,0.18499825835674827,0.25160179302693625,0.11493932991156876,1.0663134739683475,1.3918737347321473
E3_n_int,220.0,0.5082472849409911,0.10546334776813185,0.1378258060007689,0.03298352215281613,1.042348404819352,0.5286158328469349
E3_n_int,400.0,0.4501246382536391,0.08507356146736005,0.16099560588068343,0.08817658219808004,0.8213092496197083,0.7997649746527254
E3_n_int,600.0,0.48443777683765,0.05187057868056178,0.14400374383560974,0.09360692823793938,1.0954866466086661,0.5546420989716502
E4a_length_scale,0.08,2.0203867214407585,0.2553138191272438,1.0109720220246692,0.7934655670541014,3.840825869769405,3.7504250431936446
E4a_length_scale,0.12,0.8362846367337787,0.10645182256863402,0.14045017454781158,0.004837034670583741,1.6609470329651461,0.33172154907261625
E4a_length_scale,0.18,0.5082472849409911,0.10546334776813185,0.1378258060007689,0.03298352215281613,1.042348404819352,0.5286158328469349
E4a_length_scale,0.25,0.3543802804540395,0.06289793224322586,0.12663274796774643,0.018937598302841623,0.7184645176406441,0.6327445016335572
E4a_length_scale,0.35,0.31541276155726033,0.015683675292139976,0.17661462492299265,0.05425257004368654,0.6789340806570089,1.3278564931476335
E4b_lambda,1e-05,0.5027132345930244,0.10467784803701323,0.14047301011556973,0.03626392394565054,1.0237401724931319,0.551674079304651
E4b_lambda,0.0001,0.5031238145458136,0.10441255875077482,0.14001082248404853,0.03583040733921409,1.0252444643755787,0.5446648006159261
E4b_lambda,0.001,0.5082472849409911,0.10546334776813185,0.1378258060007689,0.03298352215281613,1.042348404819352,0.5286158328469349
E4b_lambda,0.01,0.5501140350191753,0.16864530430736407,0.16624671923290477,0.04886431476826251,1.1251257560368921,0.6399681277233688
E4b_lambda,0.1,0.552941417583971,0.03778759042081489,0.13399466211631741,0.05593635985820641,0.822258936631021,0.3702256501892213
